18317_G10	DarkRed
20040_B1	DarkRed
20044_A10	DarkRed
20042_D4	DarkRed
18255_E8	DarkRed
18254_D2	DarkRed
18252_B12	DarkRed
20042_D2	DarkRed
18314_D6	DarkRed
18313_C10	DarkRed
20047_D6	DarkRed
19917_D1	DarkRed
18312_B4	DarkRed
18315_E6	DarkRed
18255_E7	DarkRed
18316_F6	DarkRed
20036_D11	DarkRed
19915_B9	DarkRed
20040_B6	DarkRed
20038_F1	DarkRed
20034_B6	DarkRed
18263_A2	DarkRed
18252_B8	DarkRed
18255_E4	red
18256_F2	red
18255_E5	red
18252_B11	red
20048_E11	red
18311_A9	red
18255_E11	red
20044_A12	red
18251_A5	red
20039_A1	red
20040_B12	red
20044_A5	red
18312_B11	red
18317_G2	red
20049_F3	red
20048_E12	red
18252_B1	red
18311_A6	red
20043_E2	red
18315_E10	red
18275_F6	red
18316_F11	red
20026_A5	red
20026_A6	red
18270_A4	red
18316_F7	red
18312_B6	red
18274_E7	red
18254_D12	red
18251_A3	red
20040_B2	red
20041_C1	red
18312_B8	red
18257_G6	red
18271_B2	red
18274_E3	red
18255_E2	red
18270_A11	red
20031_F8	green
20026_A12	green
17327_A4	green
17327_A12	green
19909_D11	green
18048_G2	green
18048_G8	green
18044_C6	green
19907_B3	green
18042_A7	green
18043_B2	green
18044_C9	green
17329_C5	green
18046_E8	green
17329_C10	green
18267_E6	green
17332_F7	green
17333_G6	green
18260_C8	green
18046_E3	green
18088_G2	green
18042_A4	green
18049_H11	green
18044_C5	green
19914_A12	green
18048_G4	green
18267_E11	green
18264_B10	green
18262_E11	green
18262_E6	green
20031_F9	green
19917_D7	green
17332_F9	green
18264_B9	green
18265_C6	green
18268_F6	green
20032_G5	green
20029_D10	green
17331_E1	green
20038_F11	green
18262_E2	green
17333_G2	green
17334_H3	green
17330_D3	green
17328_B1	green
17329_C9	green
18258_A7	green
17327_A2	green
17329_C1	green
17328_B5	green
17329_C8	green
17328_B8	green
20026_A9	green
20026_A8	green
